Codice;Descrizione;Fornitore;Q.t�;Udm
D11008040560;CAPICORDA 34160 D.4,3 AMP;FABBI IMOLA;500;nr
D11008040640;CAPICORDA 34853 AMP;FABBI IMOLA;100;nr
D11008050560;CAPICORDA 130102 D.5,2 AMP;FABBI IMOLA;500;nr
D11008080640;CAPICORDA OCCHIELLO GIALLO D.8;FABBI IMOLA;200;nr
D11008130320;CAPICORDA 165004 AMP;FABBI IMOLA;200;nr
D11008130560;CAPICORDA 165010 D.3 AMP;FABBI IMOLA;200;nr
D11008140560;CAPICORDA 165012 D.4 AMP;FABBI IMOLA;200;nr
D11008160320;CAPICORDA 165008 AMP;FABBI IMOLA;200;nr
D11008160560;CAPICORDA 160171 D.5 AMP;FABBI IMOLA;200;nr
D11008200560;CAPICORDA 1603132 D. 2,5 AMP;FABBI IMOLA;200;nr
D11008300320;CAPICORDA 16048 1/1 AMP;FABBI IMOLA;200;nr
D11008300640;CAPICORDA 165085 AMP;FABBI IMOLA;200;nr
D11050060020;CAPICORDA 1,5/MM2 RF-M6 CEMBRE;FABBI IMOLA;500;nr
D11050060460;CAPICORDA 2,5/MM2 BF-M6 CEMBRE;FABBI IMOLA;500;nr
D11050200420;CAPICOR.FASTON 1,5MMQ 4,8X0,8;FABBI IMOLA;200;nr
D11095040420;CAPICORDA 1,5/mm2 RF-M4;FABBI IMOLA;700;nr
D11095040870;CAPICORDA 10/mm2 A2-M4;FABBI IMOLA;300;nr
D11095050420;CAPICORDA 1,5/mm2 RF-M5;FABBI IMOLA;700;nr
D11095050740;CAPICORDA 4e6/mm2 GF-M5;FABBI IMOLA;400;nr
D11095050870;CAPICORDA 10/mm2 A2-M5;FABBI IMOLA;300;nr
D11095060740;CAPICORDA 4e6/mm2 GF-M6;FABBI IMOLA;300;nr
D11095060870;CAPICORDA 10/mm2 A2-M6;FABBI IMOLA;300;nr
D11095130420;CAPICORDA 1,5/mm2 RF-U3,5;FABBI IMOLA;300;nr
D11295300060;CAPICORDA TER.H0,25/12 WD;FABBI IMOLA;1000;nr
D11295300130;CAPICORDA TER.H0,5/14 6907.0WD;FABBI IMOLA;1000;nr
D11295300290;CAPICORDA TER.H0,75/14 4629.0;FABBI IMOLA;1000;nr
D11295300340;CAPICORDA TER.H1 /14 4630.0 WD;FABBI IMOLA;1000;nr
