Articolo;Descrizione lunga;Segn.;Costo Unitario;Proc. Speciale;Produttore;Produttore Modello;Produttore Codice
E0114W839700;ALIMENTATORE 0150-1872 S01-72/1000 LINMOT;;429,75;;LINMOT;0150-1872 S01-72/100;0150-1872 S01-72/1000
E01262835600;ALIMENTAT.VIN:3X380-480VAC/VOUT:48VDC/IOUT:10A/P:480W PULS;;247,00;;;QT20.481;QT20.481
E01262835A00;ALIMENTATORE QT40.481 IN 3 X 380V - OUT 48V PULS;;387,00;;PULS;QT40.481;QT40.481
E0130ZB34600;ALIMENT.VIN:1X100-240VAC/VOUT=24VDC/IOUT=10A/P=240W BECKHOFF;;171,60;;BECKHOFF AUTOMATION SRL;PS3001-2410-0001;PS3001-2410-0001
E0130ZB34A00;ALIMENT.VIN:1X100-240VAC/VOUT=24VDC/IOUT=20A/P=480W BECKHOFF;;204,56;;;PS3001-2420-0001;PS3001-2420-0001
E0132L734300;ALIMEN.AC/DC ALFAPANEL F1-4-125S E-DUE;;81,88;;ALFAPANEL;F1-4-125S E-DUE;PFI-4-1255
E0132L734301;ALIMENTAT.230VAC/5VDC RS-25-5 COD.PAY-PWR-1255-00 PAYPRINT;;36,00;;PAYPRINT;PAY-PWR-1255-00;PAY-PWR-1255-00
E01357634000;ALIMENTATORE P/N S82K-00324 OMRON;ANN;33,30;;OMRON ELECTRONICS S.p.A.;S82K-00324;S82K-00324
E01357734300;ALIMEN.SWITCHING S82J 6024 INGR.220VAC USC.24VCC 4,5A OMRON;ANN;87,80;;OMRON ELECTRONICS S.p.A.;82J 6024;82J 6024
E01358737100;ALIM.AZ. LED 230-240V IN 10V 12W OUT (OT12/230-240/10) OSRAM;ANN;25,37;;OSRAM;OT12/230-240/10;OT12/230-240/10
E01361732200;*ANNULLATO E SOSTITUITO DA E01361732C00;ANN;65,26;;PHOENIX CONTACT Spa;;2938756
E01361732C00;ALIM.STEP-PS/1AC/12DC/3(USCITA REG.10-16.5VD 2868570 PHOENIX;;55,61;;PHOENIX CONTACT Spa;PHOENIX CONTACT;2868570
E01361736900;*FUORI PRODUZIONE ALIMENTATORE  EG45-PS-230 AC/5 DC/250;ESA;122,10;;PHOENIX CONTACT Spa;;2940676
E01377734600;ALIM.10A SITOP POWER 10 6EP 1334-2BA00 SIEMENS;ANN;101,30;;SIEMENS S.P.A;;*6EP1334-2BA00
E01377734601;ALIMENTAT. PSU100S  6EP1334-2BA20 10 A (ex 6EP1334-2BA01);;122,39;;SIEMENS S.P.A;SITOP PSU100S/1AC/DC;6EP1334-2BA20
E01377734800;*SOST.DA E01377734802 AL.5 SITOP POW.5 6EP 1333-2BA00 SIEM.;ANN;77,50;;SIEMENS S.P.A;;*6EP1333-2BA00
E01377734801;ALIMENTATORE PARAL.5A 24VDC 6EP1333-3BA10 (EX 3BA00) SIEMENS;;131,79;;SIEMENS S.P.A;SITOP PSU200M/1-2AC/;6EP1333-3BA10
E01377734802;ALIMENTAT. Sitop Smart 6EP1333-2BA20 5 A (ex 6EP1333-2BA01);;92,59;;SIEMENS S.P.A;;6EP1333-2BA20
E01377734A00;ALIMENT.6EP1336-3BA10 MONOFASE AC110/230-DC24V/20A SIEMENS;;155,88;;SIEMENS S.P.A;SITOP PSU8200/1ACDC/;6EP1336-3BA10
E01377736600;ALIMENTATORE SITOP POWER FLEXI 120W AC 120/230V SIEMENS;ANN;,00;;SIEMENS S.P.A;SITOP flexi;6EP1 353-2BA00
E01377832A00;ALIME.6EP3424-8UB00-0AY0 TRIFASE AC400/500-DC12V/20A SIEMENS;;166,84;;SIEMENS S.P.A;SITOP PSU3800/3AC/DC;6EP3424-8UB00-0AY0
E01377834A00;ALIMENTATORE SITOP MODULAR 20 3X400 20A;;185,93;;SIEMENS S.P.A;SITOP MODULAR/3AC/DC;6EP1436-3BA00
E01377834B00;ALIMENTATORE SITOP MODULAR 40 3X400 40A;ANN;,00;;SIEMENS S.P.A;SITOP MODULAR/3AC/D;P1437-3BA00
E0137A734800;ALIM.STABILIZ.ART.5124 220V 50HZ   SECAP;ANR;291,80;;;;
E01395442100;*ANN.E SOST.DA E01395732200 ALIM.CP-SNT24W12V 1.5A9928890012;ANN;67,65;;WEIDMULLER;CP-SNT24W 12V 1.5A;9928890012
E01395731000;ALIMEN.PRO INSTA 30W 5V 6A 2580210000 WD (EX CP-SNT24W);;50,47;;WEIDMULLER;PRO INSTA 30W 5V 6A;2580210000
E01395732200;ALIMENTATORE VIN:230VAC/VOUT:12VDC/IOUT:2.5A WEIDMULLER;;37,44;;WEIDMULLER;PRO INSTA 30W 12V 2;2580220000
E01395734000;ALIMENTATORE MODELLO CP-SNT24W 220/24V 1A 9928890024 WD;ANN;59,62;;WEIDMULLER;CP-SNT24W 220/24V 1A;9928890024
E0142B730000;ALIMENTATORE NIVOTESTER COD.FTW 420-R0A0A ENDRESS+HAUSER;ANN;93,15;;ENDRESS + HAUSER ITALIA S.P.A.;FTW 420-R0A0A;FTW 420-R0A0A
E0150D738200;UNINTERRUPTIBLE POWER SUPPLY 230VAC 500VA BASIC 1609-U500E;ANN;357,00;;ALLEN BRADLEY;1609-U500E;1609-U500E
E0151D737200;UPS APC MOD.TOWER SMT750I COD.760473;ANR;257,70;;APC;TOWER SMT750I;760473
E0151D737400;UPS APC SMART-UPS 1500VA COD.SMT1500I;ESA;639,45;;APC;UPS SMART 1500VA;SMT1500I
E0155R030300;GR. CONTINUITA' UPS RIELLO NET DIALOG ND80 4027L MISCO;ANN;264,17;;;;
E01561444A0;UPS 20A 24VDC 2907072 QUINT4-UPS/24DC/24DC/20/USB PHOENIX;ANN;,00;;;;
E01561444A00;UPS 20A 24VDC 2907072 QUINT4-UPS/24DC/24DC/20/USB PHOENIX;;139,60;;PHOENIX CONTACT Spa;QUINT4-UPS/24DC/24DC;2907072
E01578830001;GR.CONTIN.CON BATTERIA UPS APC MOD.MGE GALAXY 300 SCHNEIDER;ANN;7 950,00;;APC;MGE GALAXY 300;G3HT20K3ILS
E0157Z730001;*ANN.E SOST.DA E994821066 GR.CONTINUIT� BLACK LCD 550 RS;ANN;500,00;;SEA VISION S.r.l.;;
E01657A0AA01;BATTERIA TAMPONE PER PLC CQM1 C500-BAT08 OMRON;ANR;76,00;;OMRON ELECTRONICS S.p.A.;C500-BAT08;C500-BAT08
E01661444A00;BATTERIA 3,4 AH PER UPS 24VDC COD.2320306 PBAT/VRLA/PHOENIX;ESA;67,45;;PHOENIX CONTACT Spa;UPS-BAT/VRLA/24DC/3.;2320306
E01661444A01;BATTERIA V:24Vdc/4aH COD.1274117 PHOENIX;;76,22;;PHOENIX CONTACT Spa;UPS-BAT/PB/24DC/4AH;1274117
E01677440800;ALIMENTATORE 6EP1961-3BA01 SIEMENS;;116,08;;SIEMENS S.P.A;SITOP PSE201U/MODULO;6EP1961-3BA01
E01677734700;UPS SITOP MODULE UPS500S 6EP1933-2EC41 SIEMENS;;248,84;;SIEMENS S.P.A;SITOP UPS500S/DC/DC2;6EP1933-2EC41
E01744446A00;SCHEDA DI CONTROLLO STROBO PER LED RT420-20 GARDASOFT;;1 321,60;;GASRDASOFT;RT420-20;RT420-20
E01747446C00;GE-ABS50-MA-OPTCONTROLLER PER ILLUMINATORI IMPULSIVI GENESI;;149,60;;GENESI;GE-ABS50-1MA-OTP;GE-ABS50-1MA-OTP
E01770446000;ALIM.CORR.COST.PER LED RCD-24_1.00/W RECOM;;15,43;;RECOM;RCD-24_1.00/W;RCD-24_1.00/W
E0179W735001;ALIMENTATORE LAMP.LED ETO 35 35W 200-240V AC 50V DC WALDMANN;ANR;65,22;;;;
E01880242100;BATTERIA AL PIOMBO NP17-12FR 12V 17Ah YUASA;;42,33;;YUASA;NP17-12FR 12V 17Ah;NP17-12FR 12V 17Ah
E0195C949200;REAL TIME CLOCK PER FIM30 MOD.DS12887+ MAXIM;;11,43;;MAXIM;DS12887+;A700000006920758
E01A15000000;CONTR.BATT.SCARICHE 906 T 24 HN DAO 24Vdc COD.17676766-004;;28,00;;CURTIS;906T24HNDAO;906T24HNDAO
E01A1D000000;SCHEDA RELAY APC AP9613 COD.764162;ANR;144,76;;APC;AP9613;764162
E01A5Q000000;CARICABATTERIA NPB-120-24XLR 24Vdc 4A MEAN WELL;;80,49;;MEAN WELL;PB 120P 27C;PB 120P 27C
E01SP0000001;ALIMENTATORI;;497,00;;;;
E020151440;FOTO E32067522210;ANN;,00;;;;
E020201441;AMPLIFICATORE   PH 11;ANN;5,42;;;;
E020301441;AMPLIFICATORE   PH 22;ANN;6,20;;;;
E02040A430;AMPLIFICATORE TIPO OA22-24V 50/60HZ BACK;ANN;60,01;;;;
E020490401;AMPLIFICATORE RH22V C5131000 ZIHEL-ABBERG;ANN;,00;;;;
E02054B440;AMPLIFICATORE SR2301 VS2000/24VDC IFM ELECTRONIC;;439,00;;IFM ELECTRONIC SRL;SR2301;VS2000/ 24VDC/EXI/1G
E02054B730;AMPLIFICATORE SN2301 VS2000/230VAC/1G IFM ELECTRONIC;;420,00;;IFM ELECTRONIC SRL;SN2301;VS2000/230VAC/EXI/1G
E02054B731;AMPLIFICATORE SR0150 ATEX/UL IFM ELECTRONIC;;135,50;;IFM ELECTRONIC SRL;SR0150;VS3000/24VDC
E02058R440;AMPLIFICATORE BUS PAB30 A 209 3 USC.TRANSISTOR PNP TELCO;;398,00;;TELCO;PAB 30 A 209;PAB 30 A 209
E035020000;AVVISATORE ACUSTICO 6-28 VOLT   MALLORY;ANN;8,47;;;;
E035040000;AVVISATORE ACUSTICO  24 VOLT    MALLORY;ANN;8,48;;EAO AG;14-810-002;14-810-002
E035520000;AVVISATORE ACUSTICO 14-810-002 EAO AG (EX. NUCLETRON);;43,33;;;;
E037920000;AVVISATORE ACUSTICO BIP 81      SIRENA;;16,46;;SIRENA;BIP 81;BIP 81
E037920001;AVVISAT.ACUST.MINI CELERE 30W 50HZSIRENA;;47,14;;SIRENA;MINI CELERE;42001
E037M20000;AVVISATORE ACUSTICO 18X24 NERO 24VCC ART.770-6024 SWISSTAC;;14,78;;SWISSTAC;770-5024 3494;770-5024 3494
E038530000;AVVISATORE ACUSTICO RONZAT.5051 TICINO;;,00;;BTICINO;5051;5051
E09000000000;PC SAYCOOL M5A-B-5 CON LICENZA WIND-XP;ANN;735,00;;;;
E09000900000;CAVO PROLUNGA M/M VGA H2953 7,5MT;ANN;51,62;;MISCO;M2953;M2953
E09000900001;CONNETT.ADATTATORE 9/25 POLI  1655 MISCO;ANN;,00;;MISCO;1655;1655
E09000900002;STAMPANTE 80COLONNE TALLY MT80 MANNESMAN;;,00;;MANNESMAN;MT80;MT80
E09000900003;SCHEDA DI MEMORIA P22574 8MB-72PIM SENZA PARITA' MISCO;ANN;57,11;;;;
E09000900004;CAVO VGA M/F 7,5MT A2563 MISCO;ANN;60,30;;;;
E0900D900000;KIT DI ESPANSIONE 2 SLOT PCI/PCIE 6189V-EXTPCI2 ROCKWELL;;188,54;;ROCKWELL AUTOMATION SRL;6189V-EXTPCI2;6189V-EXTPCI2
E0900D900010;MODEM DIAL - IN ETHERNET 9300 - RADES - ALLEN BRADLEY;;782,80;;ALLEN BRADLEY;ETHERNET 9300;ETHERNET 9300
E0900Z900000;*ANN.E SOST.DA E0900Z900004 BATTERIA C9900-U330 BECKHOFF;ANN;123,25;;BECKHOFF AUTOMATION SRL;C9900-U330-0010;C9900-U330-0010
E0900Z900001;GIGABIT ETHERNET PCLE MODULE MOD.FC9062 BECKHOFF;;118,95;;BECKHOFF AUTOMATION SRL;FC9062;FC9062
E0900Z900002;REAL-TIME ETHERNET PORT MOD.CU2508 BECKHOFF;;288,66;;BECKHOFF AUTOMATION SRL;CU2508;CU2508
E0900Z900003;CHIAVE USB C9900-L100-0033+LICENZA PRECARICATA X PC BECKHOFF;;2 550,16;;BECKHOFF AUTOMATION SRL;C9900-L100-0033;C9900-L100-0033
E0900Z900004;BATTERIA MOD.CU8130-0240 BECKHOFF;;335,34;;BECKHOFF AUTOMATION SRL;CU8130-0240;CU8130-0240
E09025N01030;TASTIERA PANEL JD102M;ANN;152,40;;;;
